class,f1_score,precision,recall,support
  pineapple,0.89,0.9,0.89,80.0
pizza,0.94,0.96,0.91,80.0
     pliers,0.8,0.87,0.74,80.0
 police_car,0.73,0.89,0.61,80.0
 pond,0.63,0.67,0.6,80.0
 pool,0.59,0.67,0.53,80.0
   popsicle,0.83,0.89,0.78,80.0
   postcard,0.78,0.85,0.71,80.0
     potato,0.6,0.49,0.78,80.0
     power_outlet,0.83,0.83,0.84,80.0
purse,0.74,0.76,0.72,80.0
     rabbit,0.88,0.91,0.85,80.0
    raccoon,0.63,0.79,0.53,80.0
radio,0.77,0.76,0.78,80.0
 rain,0.9,0.93,0.88,80.0
    rainbow,0.94,0.94,0.95,80.0
 rake,0.77,0.75,0.79,80.0
   remote_control,0.91,0.9,0.91,80.0
 rhinoceros,0.81,0.79,0.84,80.0
river,0.78,0.77,0.79,80.0
   roller_coaster,0.84,0.85,0.82,80.0
     rollerskates,0.92,0.94,0.9,80.0
   sailboat,0.91,0.87,0.95,80.0
   sandwich,0.77,0.8,0.75,80.0
  saw,0.9,0.92,0.89,80.0
  saxophone,0.93,0.96,0.9,80.0
 school_bus,0.57,0.68,0.49,80.0
   scissors,0.93,0.94,0.93,80.0
   scorpion,0.9,0.91,0.89,80.0
screwdriver,0.88,0.97,0.81,80.0
 sea_turtle,0.91,0.9,0.91,80.0
    see_saw,0.88,0.94,0.82,80.0
shark,0.84,0.87,0.81,80.0
sheep,0.93,0.94,0.93,80.0
 shoe,0.87,0.84,0.9,80.0
     shorts,0.83,0.77,0.9,80.0
     shovel,0.84,0.84,0.84,80.0
 sink,0.89,0.86,0.93,80.0
 skateboard,0.93,0.94,0.93,80.0
skull,0.94,0.97,0.91,80.0
 skyscraper,0.8,0.78,0.81,80.0
     sleeping_bag,0.81,0.81,0.81,80.0
smiley_face,0.83,0.84,0.81,80.0
snail,0.93,0.93,0.93,80.0
snake,0.83,0.8,0.86,80.0
    snorkel,0.86,0.87,0.85,80.0
  snowflake,0.89,0.91,0.88,80.0
    snowman,0.95,0.92,0.99,80.0
soccer_ball,0.87,0.86,0.89,80.0
 sock,0.88,0.85,0.91,80.0
  speedboat,0.83,0.76,0.93,80.0
     spider,0.86,0.8,0.94,80.0
spoon,0.79,0.83,0.75,80.0
spreadsheet,0.67,0.64,0.71,80.0
     square,0.77,0.73,0.82,80.0
   squiggle,0.57,0.59,0.55,80.0
   squirrel,0.87,0.83,0.91,80.0
     stairs,0.93,0.91,0.96,80.0
 star,0.94,0.91,0.97,80.0
steak,0.67,0.7,0.64,80.0
     stereo,0.71,0.7,0.72,80.0
stethoscope,0.9,0.9,0.9,80.0
   stitches,0.9,0.92,0.89,80.0
  stop_sign,0.96,0.99,0.94,80.0
stove,0.86,0.86,0.86,80.0
 strawberry,0.87,0.86,0.89,80.0
streetlight,0.85,0.91,0.8,80.0
string_bean,0.6,0.68,0.54,80.0
  submarine,0.87,0.87,0.86,80.0
   suitcase,0.74,0.83,0.68,80.0
  sun,0.91,0.89,0.93,80.0
 swan,0.79,0.81,0.76,80.0
    sweater,0.74,0.82,0.68,80.0
  swing_set,0.94,0.95,0.93,80.0
sword,0.89,0.9,0.88,80.0
    t-shirt,0.87,0.81,0.93,80.0
table,0.84,0.78,0.9,80.0
     teapot,0.89,0.92,0.86,80.0
 teddy-bear,0.81,0.76,0.86,80.0
  telephone,0.83,0.94,0.74,80.0
 television,0.93,0.96,0.9,80.0
   tennis_racquet,0.91,0.86,0.97,80.0
 tent,0.86,0.9,0.82,80.0
tiger,0.66,0.69,0.64,80.0
    toaster,0.9,0.93,0.86,80.0
  toe,0.83,0.82,0.84,80.0
     toilet,0.93,0.96,0.9,80.0
tooth,0.88,0.87,0.89,80.0
 toothbrush,0.89,0.85,0.93,80.0
 toothpaste,0.71,0.77,0.66,80.0
    tornado,0.75,0.69,0.81,80.0
    tractor,0.83,0.88,0.79,80.0
    traffic_light,0.89,0.89,0.89,80.0
train,0.85,0.85,0.85,80.0
 tree,0.81,0.81,0.81,80.0
   triangle,0.93,0.91,0.94,80.0
   trombone,0.65,0.7,0.61,80.0
truck,0.41,0.49,0.35,80.0
    trumpet,0.71,0.65,0.79,80.0
   umbrella,0.93,0.95,0.91,80.0
  underwear,0.85,0.91,0.8,80.0
  van,0.6,0.57,0.64,80.0
 vase,0.87,0.88,0.85,80.0
     violin,0.54,0.49,0.59,80.0
  washing_machine,0.91,0.9,0.91,80.0
 watermelon,0.8,0.84,0.76,80.0
 waterslide,0.83,0.8,0.88,80.0
whale,0.91,0.92,0.9,80.0
wheel,0.88,0.86,0.91,80.0
   windmill,0.87,0.86,0.89,80.0
wine_bottle,0.85,0.86,0.84,80.0
 wine_glass,0.89,0.9,0.89,80.0
 wristwatch,0.89,0.85,0.94,80.0
 yoga,0.78,0.69,0.89,80.0
zebra,0.83,0.82,0.85,80.0
     zigzag,0.85,0.93,0.79,80.0
